state,year,loans
New Jersey,2017,306
New Jersey,2018,292
New Jersey,2019,462
New Jersey,2020,562
New Jersey,2021,481
New Jersey,2022,296
New Jersey,2023,313
New Jersey,2024,239
New Mexico,2016,510
New Mexico,2017,871
New Mexico,2018,616
New Mexico,2019,592
New Mexico,2020,268
New Mexico,2021,388
New Mexico,2022,347
New Mexico,2023,837
New Mexico,2024,695
New York,2016,"8,800"
New York,2017,"8,769"
New York,2018,"7,366"
New York,2019,"7,365"
New York,2020,"5,632"
New York,2021,"5,883"
New York,2022,"4,903"
New York,2023,"5,506"
New York,2024,"5,372"
North Carolina,2016,"4,102"
North Carolina,2017,"1,600"
North Carolina,2018,"1,425"
North Carolina,2019,"1,605"
North Carolina,2020,769
North Carolina,2021,562
North Carolina,2022,638
North Carolina,2023,941
North Carolina,2024,943
North Dakota,2016,155
North Dakota,2017,171
North Dakota,2018,195
North Dakota,2019,180
North Dakota,2020,140
North Dakota,2021,354
North Dakota,2022,397
North Dakota,2023,329
North Dakota,2024,317
Ohio,2016,93
Ohio,2017,118
Ohio,2018,124
Ohio,2019,375
Ohio,2020,202
Ohio,2021,441
Ohio,2022,274
Ohio,2023,442
Ohio,2024,336
Oklahoma,2016,"2,204"
Oklahoma,2017,"1,856"
Oklahoma,2018,"1,888"
Oklahoma,2019,"2,726"
Oklahoma,2020,"2,605"
Oklahoma,2021,"2,174"
Oklahoma,2022,"3,278"
Oklahoma,2023,"4,350"
Oklahoma,2024,"4,468"
Oregon,2016,346
Oregon,2017,561
Oregon,2018,619
Oregon,2019,575
Oregon,2020,220
Oregon,2021,193
Oregon,2022,146
Oregon,2023,188
Oregon,2024,196
Pennsylvania,2016,"1,990"
Pennsylvania,2017,"1,533"
Pennsylvania,2018,"1,710"
Pennsylvania,2019,"1,591"
Pennsylvania,2020,768
Pennsylvania,2021,"1,141"
Pennsylvania,2022,"1,805"
Pennsylvania,2023,"2,195"
Pennsylvania,2024,"2,149"
Rhode Island,2016,187
Rhode Island,2017,202
Rhode Island,2018,200
Rhode Island,2019,181
Rhode Island,2020,267
Rhode Island,2021,130
Rhode Island,2022,279
Rhode Island,2023,324
Rhode Island,2024,172
South Carolina,2016,434
South Carolina,2017,342
South Carolina,2018,336
South Carolina,2019,385
South Carolina,2020,297
South Carolina,2021,456
South Carolina,2022,435
South Carolina,2023,515
South Carolina,2024,258
South Dakota,2016,240
South Dakota,2017,170
South Dakota,2018,154
South Dakota,2019,10
South Dakota,2020,7
South Dakota,2021,32
South Dakota,2022,29
South Dakota,2023,42
South Dakota,2024,35
Tennessee,2016,631
Tennessee,2017,548
Tennessee,2018,593
Tennessee,2019,410
Tennessee,2020,321
Tennessee,2021,276
Tennessee,2022,298
Tennessee,2023,247
Tennessee,2024,247
Texas,2016,394
Texas,2017,297
Texas,2018,342
Texas,2019,445
Texas,2020,255
Texas,2021,300
Texas,2022,296
Texas,2023,341
Texas,2024,348
Utah,2016,0
Utah,2017,0
Utah,2018,209
Utah,2019,172
Utah,2020,110
Utah,2021,124
Utah,2022,141
Utah,2023,314
Utah,2024,323
Vermont,2016,520
Vermont,2017,595
Vermont,2018,733
Vermont,2019,870
Vermont,2020,446
Vermont,2021,470
Vermont,2022,692
Vermont,2023,726
Vermont,2024,795
Virginia,2016,174
Virginia,2017,190
Virginia,2018,267
Virginia,2019,436
Virginia,2020,344
Virginia,2021,253
Virginia,2022,215
Virginia,2023,226
Virginia,2024,441
Washington,2016,319
Washington,2017,358
Washington,2018,363
Washington,2019,339
Washington,2020,251
Washington,2021,254
Washington,2022,395
Washington,2023,566
Washington,2024,535
West Virginia,2016,354
West Virginia,2017,414
West Virginia,2018,432
West Virginia,2019,409
West Virginia,2020,402
West Virginia,2021,291
West Virginia,2022,303
West Virginia,2023,391
West Virginia,2024,501
Wisconsin,2016,"1,084"
Wisconsin,2017,"1,235"
Wisconsin,2018,"1,212"
Wisconsin,2019,"1,339"
Wisconsin,2020,"1,175"
Wisconsin,2021,"1,192"
