state,year,grant,internet,device,loans,policy
Montana,2021,477869,0.7324561404,0.7149122807,"1,449",0
Montana,2023,497225,0.6693227092,0.6812749004,"1,623",1
Nebraska,2017,455456,0.585492228,0.621761658,"2,328",0
Nebraska,2019,475433,0.5337837838,0.5810810811,"1,489",0
Nebraska,2021,493190,0.7704918033,0.762295082,861,0
Nebraska,2023,514492,0.7463768116,0.7753623188,319,1
Nevada,2017,416818,0.676056338,0.7394366197,186,0
Nevada,2019,440065,0.5694444444,0.6527777778,177,0
Nevada,2021,460972,0.6397058824,0.6911764706,57,0
Nevada,2023,485544,0.7323943662,0.8028169014,126,1
New Hampshire,2017,429457,0.5842696629,0.6460674157,"1,023",0
New Hampshire,2019,447994,0.6623376623,0.7597402597,"1,394",0
New Hampshire,2021,464604,0.7588652482,0.7517730496,"1,005",0
New Hampshire,2023,484546,0.7853107345,0.7966101695,996,1
New Jersey,2017,487507,0.4952380952,0.5238095238,306,0
New Jersey,2019,524008,0.5847953216,0.6140350877,462,0
New Jersey,2021,554384,0.6148148148,0.7111111111,481,0
New Jersey,2023,597886,0.7135416667,0.7552083333,313,1
New Mexico,2017,443853,0.5506756757,0.6317567568,871,0
New Mexico,2019,464017,0.6653992395,0.6920152091,592,0
New Mexico,2021,482041,0.6212765957,0.6808510638,388,0
New Mexico,2023,503561,0.7370892019,0.7887323944,837,1
New York,2017,704725,0.4910714286,0.5580357143,"8,769",0
New York,2019,766225,0.5427350427,0.5897435897,"7,365",0
New York,2021,815061,0.5822102426,0.6361185984,"5,883",0
New York,2023,883523,0.6697459584,0.727482679,"5,506",1
North Carolina,2017,551873,0.5311355311,0.5824175824,"1,600",0
North Carolina,2019,593028,0.5441696113,0.6325088339,"1,605",0
North Carolina,2021,630688,0.615942029,0.6413043478,562,0
North Carolina,2023,672768,0.6573705179,0.7529880478,941,1
North Dakota,2017,370935,0.6363636364,0.6889952153,171,0
North Dakota,2019,387991,0.6242424242,0.6848484848,180,0
North Dakota,2021,403254,0.58,0.7066666667,354,0
North Dakota,2023,421517,0.7657142857,0.8,329,1
Ohio,2017,565396,0.5831202046,0.6265984655,118,0
Ohio,2019,607975,0.5900277008,0.6288088643,375,0
Ohio,2021,645924,0.6859756098,0.7134146341,441,0
Ohio,2023,691295,0.7111111111,0.7650793651,442,1
Oklahoma,2017,431978,0.5458333333,0.6333333333,"1,856",0
Oklahoma,2019,456538,0.6484641638,0.7440273038,"2,726",0
Oklahoma,2021,478582,0.6994219653,0.774566474,"2,174",0
Oklahoma,2023,504673,0.7654320988,0.7983539095,"4,350",1
Oregon,2017,425297,0.676056338,0.7042253521,561,0
Oregon,2019,451241,0.6462882096,0.7161572052,575,0
Oregon,2021,474395,0.7957446809,0.8127659574,193,0
Oregon,2023,501083,0.7610619469,0.7831858407,188,1
Pennsylvania,2017,693639,0.5264483627,0.5743073048,"1,533",0
Pennsylvania,2019,738456,0.59,0.63,"1,591",0
Pennsylvania,2021,778285,0.6180758017,0.6647230321,"1,141",0
Pennsylvania,2023,827442,0.6411764706,0.6911764706,"2,195",1
Rhode Island,2017,369462,0.5251798561,0.5539568345,202,0
Rhode Island,2019,387264,0.625,0.7232142857,181,0
Rhode Island,2021,403055,0.6504065041,0.7398373984,130,0
Rhode Island,2023,422400,0.6701030928,0.7422680412,324,1
South Carolina,2017,519200,0.5384615385,0.5961538462,342,0
South Carolina,2019,547308,0.5799086758,0.6484018265,385,0
South Carolina,2021,572955,0.6288209607,0.7074235808,456,0
South Carolina,2023,602064,0.7226890756,0.8025210084,515,1
South Dakota,2017,419398,0.5419847328,0.6106870229,170,0
South Dakota,2019,436838,0.6929133858,0.7559055118,10,0
South Dakota,2021,452451,0.6641791045,0.723880597,32,0
South Dakota,2023,470969,0.6967213115,0.7459016393,42,1
Tennessee,2017,447418,0.5142857143,0.5785714286,548,0
Tennessee,2019,479299,0.4848484848,0.5416666667,410,0
Tennessee,2021,508259,0.5884955752,0.6327433628,276,0
Tennessee,2023,543031,0.61352657,0.7004830918,247,1
Texas,2017,891985,0.546728972,0.6308411215,297,0
Texas,2019,980364,0.5724020443,0.6405451448,445,0
Texas,2021,1061597,0.6494156928,0.7061769616,300,0
Texas,2023,1155054,0.7592920354,0.7752212389,341,1
Utah,2017,456650,0.7005988024,0.7065868263,0,0
Utah,2019,480124,0.6836158192,0.7457627119,172,0
Utah,2021,501549,0.6643356643,0.7272727273,124,0
Utah,2023,527524,0.7941176471,0.8470588235,314,1
Vermont,2017,406845,0.5742574257,0.6138613861,595,0
Vermont,2019,423590,0.6193181818,0.6761363636,870,0
Vermont,2021,438495,0.7225433526,0.7398843931,470,0
Vermont,2023,456573,0.7388059701,0.776119403,726,1
Virginia,2017,501387,0.5172413793,0.5862068966,190,0
Virginia,2019,537030,0.6480446927,0.7374301676,436,0
Virginia,2021,568926,0.6648351648,0.7197802198,253,0
Virginia,2023,607096,0.679144385,0.7326203209,226,1
Washington,2017,485149,0.6637554585,0.6986899563,358,0
Washington,2019,519754,0.6422018349,0.7064220183,339,0
Washington,2021,551458,0.7061403509,0.798245614,254,0
Washington,2023,587727,0.7658730159,0.7936507937,566,1
West Virginia,2017,422749,0.5113402062,0.5649484536,414,0
West Virginia,2019,441990,0.5524296675,0.652173913,409,0
West Virginia,2021,459006,0.5993690852,0.6593059937,291,0
West Virginia,2023,479348,0.6631578947,0.7122807018,391,1
Wisconsin,2017,469626,0.5961538462,0.6666666667,"1,235",0
Wisconsin,2019,498519,0.5792079208,0.6336633663,"1,339",0
Wisconsin,2021,524397,0.6620689655,0.7103448276,"1,192",0
Wisconsin,2023,555611,0.7397959184,0.7653061224,"1,677",1
Wyoming,2017,363011,0.5683060109,0.6994535519,677,0
Wyoming,2019,379612,0.6029411765,0.6323529412,577,0
Wyoming,2021,394414,0.6962616822,0.7336448598,377,0
Wyoming,2023,412035,0.7962962963,0.837962963,414,1
